Date,-TBond Futures-Volume,-TBond Futures-Previous Day Open Interest,-TBond Futures-Open
2015-01-27,268974.0,790514.0,149.625
2015-01-28,298073.0,783467.0,149.5625
2015-01-29,377385.0,773412.0,151.09375
2015-01-30,356717.0,760064.0,150.3125
2015-02-02,438945.0,749462.0,151.59375
2015-02-03,339846.0,727934.0,150.75
2015-02-04,393043.0,699102.0,149.125
2015-02-05,377165.0,691000.0,150.125
2015-02-06,307135.0,690169.0,148.75
2015-02-09,475272.0,688114.0,147.625
2015-02-10,253474.0,681544.0,147.125
2015-02-11,280796.0,687256.0,146.875
2015-02-12,301711.0,670221.0,146.5
2015-02-13,356419.0,675408.0,146.78125
2015-02-17,267316.0,664311.0,145.5625
2015-02-18,416472.0,668521.0,144.1875
2015-02-19,403676.0,641089.0,144.59375
2015-02-20,314049.0,633999.0,144.21875
2015-02-23,348668.0,597717.0,144.15625
2015-02-24,327044.0,531094.0,145.25
2015-02-25,701533.0,421533.0,146.25
2015-02-26,652710.0,232378.0,146.75
2015-02-27,520026.0,115336.0,146.65625
2015-03-02,130389.0,79588.0,147.09375
2015-03-03,41660.0,68899.0,145.78125
2015-03-04,50400.0,53406.0,145.21875
2015-03-05,33645.0,39781.0,145.53125
2015-03-06,13056.0,35040.0,145.40625
2015-03-09,19068.0,25007.0,144.1875
2015-03-10,18428.0,18278.0,144.09375
2015-03-11,8677.0,16795.0,145.28125
2015-03-12,11381.0,11589.0,145.78125
2015-03-13,7496.0,11595.0,145.25
2015-03-16,6051.0,9048.0,146.09375
2015-03-17,3990.0,8562.0,147.125
2015-03-18,4007.0,4758.0,147.4375
2015-03-19,2458.0,3628.0,149.3125
2015-03-20,3090.0,2984.0,148.375
2015-03-23,722.0,408285.0,164.21875
2015-03-24,151064.0,412580.0,163.9375
2015-03-25,191460.0,411472.0,165.25
2015-03-26,177201.0,419763.0,164.34375
2015-03-27,261258.0,430826.0,162.84375
2015-03-30,193040.0,432523.0,164.0625
2015-03-31,139866.0,430926.0,163.71875
2015-04-01,200583.0,425860.0,164.03125
2015-04-02,225635.0,439790.0,166.0
2015-04-06,166412.0,432137.0,165.75
2015-04-07,109192.0,435726.0,163.9375
2015-04-08,163013.0,435215.0,164.875
2015-04-09,189978.0,435600.0,164.65625
2015-04-10,229925.0,441466.0,163.1875
2015-04-13,169827.0,441961.0,163.46875
2015-04-14,161835.0,441589.0,163.65625
2015-04-15,247489.0,447213.0,164.46875
2015-04-16,210015.0,442423.0,164.40625
2015-04-17,287561.0,440857.0,163.65625
2015-04-20,264352.0,443263.0,164.90625
2015-04-21,189671.0,437230.0,163.9375
2015-04-22,168510.0,435381.0,163.46875
2015-04-23,302064.0,440991.0,161.40625
2015-04-24,251024.0,436081.0,161.65625
2015-04-27,194158.0,425956.0,162.78125
2015-04-28,146643.0,424128.0,162.84375
2015-04-29,220116.0,430925.0,160.65625
2015-04-30,344067.0,437437.0,159.59375
2015-05-01,333863.0,432411.0,159.6875
2015-05-04,173872.0,436357.0,157.6875
2015-05-05,207867.0,438188.0,156.5
2015-05-06,284982.0,443260.0,155.875
2015-05-07,288411.0,457330.0,154.125
2015-05-08,320498.0,455409.0,155.75
2015-05-11,305695.0,455590.0,156.03125
2015-05-12,240888.0,465781.0,153.03125
2015-05-13,347964.0,464344.0,153.65625
2015-05-14,365139.0,463226.0,152.1875
2015-05-15,337772.0,468127.0,153.25
2015-05-18,258522.0,464674.0,155.53125
2015-05-19,205253.0,473768.0,153.25
2015-05-20,320413.0,472814.0,152.25
2015-05-21,239230.0,463224.0,152.78125
2015-05-22,242007.0,451286.0,154.125
2015-05-26,238011.0,424221.0,154.125
2015-05-27,460954.0,285836.0,156.0625
2015-05-28,404040.0,145566.0,156.625
2015-05-29,258096.0,57527.0,156.25
2015-06-01,50754.0,30785.0,156.53125
